sheet,id,name,what_it_does,code_name,current,unit,your_value,notes
ABILITY,dash,Dash,"Burst of speed in the direction you are already moving. Blocked on rail, drop stall, 0 RPM, or while another ability holds you.",DASH_CD,3.8,seconds,,Cooldown after a dash.
ABILITY,dash,Dash,How hard the dash shoves you. Clash knock cap is 0.086 so this is a strong shove but under a full clash.,DASH_SHOVE,0.062,knock,,Raise = longer dash. Stay under 0.086.
ABILITY,dash,Dash,Player-only chance the existing inner-lens slo-mo cam runs for the dash. CPU dashes never roll this.,dashChance,0.40,probability,,Reuse kill cam. Do not add a second camera.
ABILITY,dash,Dash,How long a dash slo-mo holds.,dashHoldMs,1500,milliseconds,,1.5s. Physics ticks stay 1/60; only the clock feeding them slows.
ABILITY,shared,All actives,Uses per match for every ACTIVE kit. Passives do not spend this.,ABILITY_USES,2,uses,,Both you and CPU get this many.
ABILITY,shared,Simul press,"If both press an active within this window, one is DENIED at random.",SIMUL_MS,120,milliseconds,
ABILITY,shared,Clash knock cap,Hard cap on any ability shove.,KNOCK_CAP,0.086,knock,,Do not raise for a single kit without talking physics.
ABILITY,ancient-sword,Ancient Sword,"Dran Sword, Viper Tail, Shark Edge, Shark Scale. 2 uses. If foe is inside range, both freeze 3s. 4 cuts every 0.6s, each 1–3 RPM (4–12 total), then a stronger shove. Miss still spends a use.",SWORD_R,0.54,stadium units,,Bigger = easier to land. Stadium radius is about 1.
ABILITY,ancient-sword,Ancient Sword,How long the freeze/cut lasts if it hits.,SWORD_MS,3000,milliseconds,,Blurb says 3s.
ABILITY,ancient-sword,Ancient Sword,Seconds between cuts. 4 cuts max.,sword_tick,0.6,seconds,
ABILITY,ancient-sword,Ancient Sword,RPM taken per cut (random in this range). HUD RPM = this × 100.,sword_rpm_per_cut,0.010–0.030,rpm 0–1,,Shows as 1–3 RPM on the bar.
ABILITY,ancient-sword,Ancient Sword,End shove uses average of 0.48–0.64 × knock cap. You get 40% of that shove back.,sword_end_kb,0.48–0.64 × 0.086,knock,
ABILITY,hurricane,Hurricane,"Arrow Wizard, Leon Claw, Wizard Rod, Shelter Drake. 2 uses. 3s. +12% move speed. Restore 10 RPM over 3s. First time foe enters the wind: shove 0.042. Staying in adds a light push.",HURRICANE_MS,3000,milliseconds,
ABILITY,hurricane,Hurricane,Wind radius (−15% from 0.84).,STORM_R,0.714,stadium units,
ABILITY,hurricane,Hurricane,Move speed while up. 1.00 = normal.,abilitySpeedMul,1.12,multiplier,
ABILITY,hurricane,Hurricane,Fixed RPM restored over the 3s. HUD shows +10.,HURRICANE_GAIN,0.10,rpm 0–1,,10 on the bar. Not a percent of current RPM.
ABILITY,hurricane,Hurricane,First-enter shove.,storm_first_shove,0.042,knock,,About half of 0.086.
ABILITY,iron-skin,Iron Skin,"Leon Crest, Knight Mail, Knight Shield. 2 uses. 3s chrome. Clash RPM on you = 0. Their knock cancelled. You shove them at 120% of that knock, still capped. Idle drain and holes still kill.",IRON_MS,3000,milliseconds,
ABILITY,iron-skin,Iron Skin,Reflect multiplier on their knock.,iron_reflect,1.20,multiplier,
ABILITY,free-spin,Free Spin,Silver Wolf. Always on. Each clash: this chance you take 0 RPM from that hit and 35% less knock.,free_spin_chance,0.15,probability,,15%.
ABILITY,free-spin,Free Spin,"Knock you take when it procs, as a fraction of normal.",free_spin_knock_mul,0.65,multiplier,,35% less knock.
